id,total_count,hourly_count,time,conf,thresh,number_of_snaps,store_uid_id,date
,0,0,16,25,45,6,70144928,2021-02-27
,0,0,17,25,45,6,70144928,2021-02-27
,0,0,18,25,45,6,70144928,2021-02-27
,0,0,19,25,45,6,70144928,2021-02-27
,0,0,20,25,45,6,70144928,2021-02-27
,7,0,23,25,45,6,70144928,2021-02-27
,0,0,9,25,45,6,70144879,2021-02-27
,0,0,10,25,45,6,70144879,2021-02-27
,0,0,11,25,45,6,70144879,2021-02-27
,0,0,12,25,45,6,70144879,2021-02-27
,0,0,13,25,45,6,70144879,2021-02-27
,0,0,14,25,45,6,70144879,2021-02-27
,0,0,15,25,45,6,70144879,2021-02-27
,0,0,16,25,45,6,70144879,2021-02-27
,0,0,17,25,45,6,70144879,2021-02-27
,0,0,18,25,45,6,70144879,2021-02-27
,0,0,19,25,45,6,70144879,2021-02-27
,0,0,20,25,45,6,70144879,2021-02-27
,14,0,23,25,45,6,70144879,2021-02-27
,0,0,9,25,45,6,70145646,2021-02-27
,0,0,10,25,45,6,70145646,2021-02-27
,0,0,11,25,45,6,70145646,2021-02-27
,0,0,12,25,45,6,70145646,2021-02-27
,0,0,13,25,45,6,70145646,2021-02-27
,0,0,14,25,45,6,70145646,2021-02-27
,0,0,15,25,45,6,70145646,2021-02-27
,0,0,16,25,45,6,70145646,2021-02-27
,0,0,17,25,45,6,70145646,2021-02-27
,0,0,18,25,45,6,70145646,2021-02-27
,0,0,19,25,45,6,70145646,2021-02-27
,0,0,20,25,45,6,70145646,2021-02-27
,29,0,23,25,45,6,70145646,2021-02-27
,0,0,9,25,45,6,70162748,2021-02-27
,0,0,10,25,45,6,70162748,2021-02-27
,0,0,11,25,45,6,70162748,2021-02-27
,0,0,12,25,45,6,70162748,2021-02-27
,0,0,13,25,45,6,70162748,2021-02-27
,0,0,14,25,45,6,70162748,2021-02-27
,0,0,15,25,45,6,70162748,2021-02-27
,0,0,16,25,45,6,70162748,2021-02-27
,0,0,17,25,45,6,70162748,2021-02-27
,0,0,18,25,45,6,70162748,2021-02-27
,0,0,19,25,45,6,70162748,2021-02-27
,0,0,20,25,45,6,70162748,2021-02-27
,21,0,23,25,45,6,70162748,2021-02-27
,0,0,9,25,45,6,70144334,2021-02-27
,0,0,10,25,45,6,70144334,2021-02-27
,0,0,11,25,45,6,70144334,2021-02-27
,0,0,12,25,45,6,70144334,2021-02-27
,0,0,13,25,45,6,70144334,2021-02-27
,0,0,14,25,45,6,70144334,2021-02-27
,0,0,15,25,45,6,70144334,2021-02-27
,0,0,16,25,45,6,70144334,2021-02-27
,0,0,17,25,45,6,70144334,2021-02-27
,0,0,18,25,45,6,70144334,2021-02-27
,0,0,19,25,45,6,70144334,2021-02-27
,0,0,20,25,45,6,70144334,2021-02-27
,29,0,23,25,45,6,70144334,2021-02-27
,0,0,9,25,45,6,70144768,2021-02-27
,0,0,10,25,45,6,70144768,2021-02-27
,0,0,11,25,45,6,70144768,2021-02-27
,0,0,12,25,45,6,70144768,2021-02-27
,0,0,13,25,45,6,70144768,2021-02-27
,0,0,14,25,45,6,70144768,2021-02-27
,0,0,15,25,45,6,70144768,2021-02-27
,0,0,16,25,45,6,70144768,2021-02-27
,0,0,17,25,45,6,70144768,2021-02-27
